지점,지점명,LON,LAT,FFMC_top10fwi_mean,DMC_top10fwi_mean,DC_top10fwi_mean,ISI_top10fwi_mean,BUI_top10fwi_mean,fwi_top10per_mean
90,속초,128.56473,38.25085,87.93956193620525,32.085701062328646,137.96445615239975,5.43763435746256,38.97133528267001,11.468409953414923
93,북춘천,127.75443,37.94738,86.38747725398623,32.677449944248025,139.6825526370862,3.5125882961892994,40.0544429961774,8.403888212030772
95,철원,127.3042,38.14787,86.00961892555779,28.927652087004347,140.89247763710154,3.5186836516050577,36.59190735311563,7.961664359006567
100,대관령,128.71834,37.67713,84.89396291203933,18.643385058469033,91.04329984582706,5.035229080460784,23.31435476720052,7.631269576389153
101,춘천,127.7357,37.90262,86.46056983921804,33.89093681556322,151.9758747561951,3.562034577190418,41.69370470172264,8.770056626110955
104,북강릉,128.85535,37.80456,88.26290217620208,41.967083495273975,156.50450835454774,5.2702030486344995,48.88712753170835,12.704462774897529
105,강릉,128.89099,37.75147,89.1025146533623,48.837538495325305,169.57306340102406,6.809612222386258,56.11494426639067,16.73536880030092
106,동해,129.12433,37.50709,87.82554359976432,40.12602786069359,161.57620121211028,5.432649047979755,47.19204533391012,12.640174061303595
114,원주,127.94659,37.33749,87.77815978071098,40.80264729925505,173.7062131315951,4.09107008850294,49.613298284459916,10.979884247908748
121,영월,128.45743,37.18126,86.45242195092699,32.37835760763974,143.81885008523756,3.417687645230475,39.96764917823686,8.157424610885458
211,인제,128.16811,38.05991,86.27619326547718,33.77610748853229,149.94690824880735,3.6783247700420105,41.575262327806186,8.863736830563173
212,홍천,127.88043,37.6836,86.92820499484466,36.917712077736155,167.19026600801038,3.652401307459669,45.83180033853293,9.483498895615249
216,태백,128.98929,37.17038,86.41911525393034,26.429235757302525,117.33974569721573,3.6218054382990705,32.4180220853541,7.511015742702553
217,정선군,128.67312,37.38071,86.44617347300846,32.173435673287514,146.04062937186643,3.7647572488987744,39.73130753562638,8.773093278535333
310,궁촌,129.26472,37.32471,87.74920687198,37.41821077210117,159.45782286948545,4.7169252100516585,44.75535496676058,11.091821291712927
318,평창용산,128.6704,37.6434,84.90952601874537,19.435689860424517,95.10692912894433,3.451944628712179,24.495550754717076,5.823629834168977
320,향로봉,128.31372,38.33101,85.50404145864528,16.86964660255259,79.00406281895354,5.804941039906122,21.511124707181807,8.073125723695997
321,원통,128.1963,38.1147,86.16701061228802,32.86075164623872,150.15618892098254,3.4650506299263477,40.8498364246579,8.334888790364873
322,상서,127.66263,38.20067,85.54853741910377,27.847790934476937,131.55689045565342,2.792857192642141,35.15450583355745,6.284069709091221
323,마현,127.52551,38.27268,85.63034005569914,24.95737673500239,123.63837947482126,3.0335074616206574,31.8328120648446,6.35745677742192
332,등봉,129.12207,37.44343,87.34613972636899,32.83201293618836,296.7604521966357,4.350598512034402,48.92144506218965,10.663494820298622
333,동해심곡,129.08287,37.58098,87.95437159050938,31.021223125853467,235.6042480585017,5.092347617598353,43.83461157062497,10.850160748837466
334,중앙,128.59194,38.20702,87.96968407537754,36.040754772258026,171.3209627212853,5.121377808659758,45.56170660584956,11.536496461437853
335,강림,128.12553,37.36023,86.15570370064437,16.27353558106568,61.05138087976046,3.1096181042341224,19.1655861351518,4.800225141992874
336,매일,128.11021,37.56094,86.90493766961741,21.15317943554808,73.60988755140231,3.526355807492232,24.505080159644553,6.257075494885261
