STN,LON,LAT,HT
332,129.12207,37.44343,49.13
333,129.08287,37.58098,16.0
334,128.59194,38.20702,24.38
335,128.12553,37.36023,406.11
336,128.11021,37.56094,210.87
337,128.0632,37.4597,202.45
338,128.21068,37.50568,486.29
339,127.8819,37.48915,251.49
340,127.98047,37.52823,137.6
345,127.94576,37.37462,109.15
346,128.89722,37.71199,52.88
347,127.85685,37.22755,152.0
348,128.71678,38.02572,6.1
